CUSTOMER,Chain,Store Number,SalesBro,Phase,NeedsSSMSupport,AIM Parameters::SSM Level,Retail Type,Zone,Power Rank,PowerRank Points::Points,Deliv Type,Deliv Duration,Google Maps,Deliv Notes,LineClean_Required,Billing Type,Fintech Name,TABC Permit,Tax ID,RITS Name,Street,City,ZIP,Is Distributor,Is Distro,iControl Name,2019 Sales,2020 Sales,Artificially Annualized Full Year 2020 Sales,% Growth 2020 over 2019
Longhorn Cheers,None,,C,0,No,,F,4.5,CO1,1,L,15,"1201 Longhorn Rd. Fort Worth, TX 76179",,No,COD,,BF977479,32062236156,Longhorn Cheers ,1201 Longhorn Rd,Fort Worth ,76179,No,Martin House,," $8,384 "," $4,644 "," $13,932 ",66%
HEB - Bandera/1604,HEB,623,C,0,No,,F,201,CO1,1,G,18,"9238 TX-1604 Loop, San Antonio, TX 78249",,No,EFT,,BG1002457,15621810959,HEB - SA32 PLUS,9238 TX-1604 Loop,SAN ANTONIO,78249,No,Martin House,," $6,076 "," $4,640 "," $13,920 ",129%
HEB - SAN ANTONIO 41 PLUS,HEB,85,C,0,No,,F,200,CO1,1,G,18,"10718 POTRANCO SAN ANTONIO , TX 78251","can also receive 1-3pm, but only if ABSOLUTELY necessary",No,EFT,,BG931119,17430106587,HEB - SAN ANTONIO 41 PLUS,10718 POTRANCO,SAN ANTONIO,78251,No,Martin House,," $1,616 "," $4,284 "," $12,852 ",695%
Whole Foods - San Antonio QRY,Whole Foods, ,C,0,No,,F,201,CO1,1,G,22,"255 E. Basse Road, Suite 130 San Antonio , TX 78209",,No,Fintech,Whole Foods - San Antonio QRY,BG420366,17427371640,Whole Foods - San Antonio QRY,"255 E. Basse Road, Suite 130",San Antonio,78209,No,Martin House,," $5,588 "," $4,268 "," $12,804 ",129%
Central Market - San Antonio Broadway,Central Market, ,C,0,No,,F,201,CO1,1,G,18,"4821 Broadway San Antonio , TX 78209",,No,EFT,,BG495106,15621810959,Central Market - San Antonio Broadway,4821 Broadway,San Antonio,78209,No,Martin House,, $-   ," $4,140 "," $12,420 ",No 2019 Sales
Tex Max,None, ,C,0,No,,F,4,CO1,1,L,18,"3349 Western Center Blvd Fort Worth , TX 76137",,No,COD,,BQ753085,32040815816,TEXMEX BEER & WINE CONVENIENCE & GIFT SHOP,3349 Western Center Blvd,Fort Worth,76137,No,Martin House,," $6,832 "," $3,976 "," $11,928 ",75%
HEB - SAN ANTONIO 31,HEB,102,C,0,No,,F,200,CO1,1,G,18,"8503 NW MILITARY HWY SAN ANTONIO , TX 78231",,No,EFT,HEB,BF701552,17430106579,HEB - SAN ANTONIO 31,8503 NW MILITARY HWY,SAN ANTONIO,78231,No,Martin House,," $1,256 "," $3,636 "," $10,908 ",768%
Whole Foods - San Antonio VND,Whole Foods, ,C,0,No,,F,202,CO1,1,G,22,"18403 Blanco Rd San Antonio , TX 78258",Straight to shelf - talk to someone to see where Salty's going.,No,Fintech,Whole Foods - San Antonio VND,BG818940,17427371640,Whole Foods - San Antonio VND,18403 Blanco Rd,San Antonio,78258,No,Martin House,," $7,665 "," $3,400 "," $10,200 ",33%
Growler Exchange,None,,C,0,No,,B,201,CO1,1,B,18,"4130 Broadway Street Ste 2, San Antonio, TX 78209",,No,Fintech,The Growler Exchange,BG933742,32058395982,Growler Exchange,4130 Broadway Street Ste 2,San Antonio,78209,No,Martin House,," $8,823 "," $3,379 "," $10,137 ",15%
Spec's - Bandera,Spec's,113,C,0,No,,F,205,CO2,0.5,L,18,"11751 BANDERA ROAD San Antonio , TX 78250",,No,Fintech,Spec's - Bandera,P 872265,17415326481,Spec's - Bandera,11751 BANDERA ROAD,San Antonio,78250,No,Martin House,," $6,420 "," $3,268 "," $9,804 ",53%
HEB - SAN ANTONIO 26,HEB,415,C,0,No,,F,200,CO1,1,G,18,"17460 IH 35 NORTH SAN ANTONIO , TX 78154",,No,EFT,,BF412448,17430106579,HEB - SAN ANTONIO 26,17460 IH 35 NORTH,SAN ANTONIO,78154,No,Martin House,, $732 ," $3,116 "," $9,348 ",1177%
Spec's - De Zavala,Spec's,100,C,0,No,,F,200,CO2,0.5,L,18,"5219 De Zavala Rd #101, San Antonio , TX 78249",De Zavala @ I-10 ,No,Fintech,Spec's - San Antonio,BF812044,17415326481,Spec's - San Antonio,5219 De Zavala Rd #101,San Antonio,78249,No,Martin House,," $7,416 "," $3,080 "," $9,240 ",25%
Kroger - Ray White 000532,Kroger,532,C,0,Yes,Weekend Inv - Weekly,F,11.5,CO1,1,G,18,"5241 N Tarrant Pkwy, Fort Worth, TX 76244",,No,Fintech,Kroger - Ray White 000532,BQ948420,17525152728,Kroger - Ray White 000532,5241 N. Tarrant Pkwy,Fort Worth,76244,No,Martin House,," $3,536 "," $3,028 "," $9,084 ",157%
Kroger - University Denton 000493 ,Kroger,493,C,0,Yes,Weekend Inv - Weekly,F,12,CO1,1,G,22,"500 W. University Denton , TX 76201",No B&W. No Backstock. Must fit in cold box or warm shelf.,No,Fintech,Kroger - 000493 University Denton ,BQ486511,13103457407,Kroger - 000493 University Denton ,500 W. University,Denton,76201,No,Martin House,," $5,348 "," $2,916 "," $8,748 ",64%
WB Liquors - North Fort Worth,WB Liquors,,C,0,No,,F,4,CO2,0.5,L,18,"899 Tehama Ridge Pkwy, Ft Worth, TX 76177",,No,COD,,BF1036352,12604362074,WB Liquors - North Fort Worth,899 Tehama Ridge Pkwy,Fort Worth,76177,No,"""Martin House""",, $472 ," $2,688 "," $8,064 ",1608%
HEB - SAN ANTONIO 17,HEB,395,C,0,No,,F,200,CO2,0.5,G,18,"12777 IH 10 W SAN ANTONIO , TX 78230",,No,EFT,,BF307460,17430106587,HEB - SAN ANTONIO 17,12777 IH 10 W,SAN ANTONIO,78230,No,Martin House,, $-   ," $2,512 "," $7,536 ",No 2019 Sales
HEB - SAN ANTONIO 45 PLUS,HEB,108,C,0,No,,F,200,CO2,0.5,G,18,"21025 U, US-281, San Antonio, TX 78258",,Yes,EFT,,BF702278,17430106579,HEB - SAN ANTONIO 45 PLUS,20935 US HIGHWAY 281 NORTH,SAN ANTONIO,78258,No,Martin House,," $1,560 "," $2,492 "," $7,476 ",379%
HEB - SAN ANTONIO 12,HEB,397,C,0,No,,F,200,CO1,1,G,18,"18140 SAN PEDRO SAN ANTONIO , TX 78232",,No,EFT,,BF309054,17430106587,HEB - SAN ANTONIO 12,18140 SAN PEDRO,SAN ANTONIO,78232,No,Martin House,, $448 ," $2,464 "," $7,392 ",1550%
Spec's - Live Oak,Spec's,69,C,0,No,,F,203,CO2,0.5,L,18,"14623 Interstate 35 N, Selma , TX 78233",,No,Fintech,Spec's - Live Oak,BF724639,17415326481,Spec's - Live Oak,14623 Interstate 35 N,Selma,78233,No,Martin House,," $3,500 "," $2,424 "," $7,272 ",108%
HEB - LEON SPRINGS,HEB,566,C,0,No,,F,200,CO2,0.5,G,18,"24165 IH10 & BOERNE STG RD SAN ANTONIO , TX 78257",,No,EFT,,BG1011396,17430106579,HEB - LEON SPRINGS,24165 IH10 & BOERNE STG RD,SAN ANTONIO,78257,No,Martin House,, $-   ," $2,384 "," $7,152 ",No 2019 Sales
HEB - SAN ANTONIO 15,HEB,555,C,0,No,,F,200,CO1,1,G,18,"910 KITTY HAWK, UNIVERSAL CITY, TX 78148",,No,EFT,HEB,BF534464,17430106579,HEB - SAN ANTONIO 15,910 KITTY HAWK,UNIVERSAL CITY,78148,No,Martin House,, $-   ," $2,384 "," $7,152 ",No 2019 Sales
Midway Craft House,None,,C,0,No,,F,12,CO2,0.5,R,18,"1115 W Hickory St, Denton, TX 76201",,No,COD,,BG931022,32058675557,Midway Craft House,1115 W Hickory St,Denton,76201,No,Martin House,," $6,805 "," $2,356 "," $7,068 ",4%
HEB - SAN ANTONIO 43,HEB,567,C,0,No,,F,200,CO1,1,G,18,"999 E Basse Rd Suite 150, San Antonio, TX 78209",,No,EFT,,BF520126,17430106587,HEB - SAN ANTONIO 43,999 E Basse Rd Suite 150,San Antonio,78209,No,Martin House,," $1,200 "," $2,320 "," $6,960 ",480%
HEB - San Antonio West Ave,HEB,389,C,0,No,,F,201,CO2,0.5,G,18,"6000 West Ave, San Antonio, TX 78213",,No,EFT,,BF121009,17430106579,HEB,6000 West Ave,San Antonio,78213,No,"""Martin House""",, $-   ," $2,256 "," $6,768 ",No 2019 Sales
HEB - San Antonio Bulverde 48,HEB,732,C,0,No,,F,200,CO2,0.5,G,18,"17238 Bulverde Rd
San Antonio, TX 78247",,No,EFT,,BG984445,17430106587,HEB - San Antonio Bulverde 48,17238 Bulverde Rd,San Antonio,78247,No,"""Martin House""",, $128 ," $2,224 "," $6,672 ",5113%
Majestic Liquors - Fort Worth,None,,C,0,No,,F,4.5,CO2,0.5,L,18,"6738 Lake Worth Blvd, Fort Worth, TX 76135",,No,COD,,BF828676,32041449912,Majestic Liquors - Fort Worth,6738 Lake Worth Blvd,Fort Worth,76135,No,Martin House,," $3,048 "," $2,216 "," $6,648 ",118%
HEB - San Antonio 23,HEB,618,C,0,No,,F,202,CO2,0.5,G,18,"5910 Babcock Rd, San Antonio, TX 78240",,No,EFT,, BF764762,17430106579,HEB - SAN ANTONIO 23,5910 Babcock,San Antonio,78240,No,Martin House,," $1,792 "," $2,176 "," $6,528 ",264%
East Side Social Club,None, ,C,0,No,,N,12,CO3,0.25,B,18,"117 E OAK STREET Denton , TX 76201","managers are Kregg, and Patrick",No,COD,,N 848376,14626200753,East Side Social Club,117 E OAK STREET,Denton,76201,No,Martin House,," $11,660 "," $2,155 "," $6,465 ",-45%
Northwest Food Mart,None, ,C,0,No,,F,200,CO2,0.5,AD,18,"2395 NW Military Hwy San Antonio , TX 78231-2502", ,No,COD, ,BQ650089,12055525823, Northwest Food Mart,2395 NW Military Hwy,San Antonio,78231,No,Martin House,," $2,552 "," $2,092 "," $6,276 ",146%
HEB - SAN ANTONIO 01,HEB,372,C,0,No,,F,200,CO1,1,G,18,"1955 NACOGDOCHES SAN ANTONIO , TX 78209",,No,EFT,,BF313176,17430106579,HEB - SAN ANTONIO 01,1955 NACOGDOCHES,SAN ANTONIO,78209,No,Martin House,," $1,276 "," $2,044 "," $6,132 ",381%
Spec's - Ingram Festival,Spec's,171,C,0,No,,F,201,CO2,0.5,L,18,"6065 NW Loop 410, Suite 108, San Antonio, TX 78238",,No,Fintech,Spec's - Ingram Festival,BF999724,17415326481,Spec's - Ingram Festival,"6065 NW Loop 410, Suite 108",San Antonio,78238,No,Martin House,," $2,932 "," $1,956 "," $5,868 ",100%
Skip's Beer Wine and Liquor - New Braunfels,NONE,,C,0,No,,F,203,CO2,0.5,L,18,"1174 TX-337 Loop #110, New Braunfels, TX 78130
",,No,COD,,BF1073476,32070625234,Skip's Beer Wine and Liquor,1174 TX-337 Loop #110,New Braunfels,78130,No,"""Martin House""",, $-   ," $1,900 "," $5,700 ",No 2019 Sales
Applejacks Liqours - Denton,None,,C,0,No,,F,12,CO2,0.5,L,20," 345 E Hickory St, Denton, TX 76201",,No,COD,,BF977307,32062422277,Applejacks Liqours - Denton,345 E Hickory St,Denton,76201,No,Martin House,," $4,562 "," $1,886 "," $5,658 ",24%
Howdy Doody,None,,C,0,No,,F,12,CO2,0.5,L,20,"1625 Scripture St, Denton, TX 76201",,No,COD,,BQ1033322,32051330101,Howdy Doody,1625 Scripture St,Denton,76201,No,Martin House,," $3,340 "," $1,884 "," $5,652 ",69%
Fossil Creek - Saginaw,Fossil Creek, ,C,0,No,,F,4.5,CO2,0.5,L,18,"1205 N Saginaw Blvd Saginaw , TX 76179",,No,COD,,P 525164,17529313136,Fossil Creek Saginaw,1205 N Saginaw Blvd,Saginaw,76179,No,Martin House,," $2,964 "," $1,868 "," $5,604 ",89%
Lucky Lou's,None, ,C,0,No,,N,12,CO3,0.25,B,18,"1207 W Hickory Denton , TX 76201",Bar Managers are Lee and Jazz,Yes,COD,,MB909159,17526654888,Lucky Lou's,1207 W Hickory,Denton,76201,No,Martin House,," $4,113 "," $1,832 "," $5,496 ",34%
Spec's - Stone Oak,Spec's,169,C,0,No,,F,202,CO2,0.5,L,12,"23026 US-281, San Antonio, TX 78258",,No,Fintech,Spec's - Highway 281 N,BF860526,17415326481,Spec's - Stone Oak,23026 US-281,San Antonio,78258,No,"""Martin House""",, $224 ," $1,700 "," $5,100 ",2177%
LOL Liquors - Live Oak,None, ,C,0,No,,X,203,CO2,0.5,L,15,"12107 Toepperwein Rd #6, Live Oak, TX 78233", ,No,COD, ,BF865060,32051994021,LOL Liquors - Live Oak,12107 Toepperwein Rd #6,Live Oak,78233,No,"""Martin House""",, $632 ," $1,684 "," $5,052 ",699%
Spec's - Denton,Spec's,123,C,0,No,,F,12,CO2,0.5,L,18,"2315 Colorado Blvd, Denton, TX 76205",,No,Fintech,Spec's - Denton,BF996567,17415326481,Spec's - Denton,2315 Colorado Boulevard,Denton,76205,No,Martin House,," $2,684 "," $1,676 "," $5,028 ",87%
WB102 - Olmos Park,WB,102,C,0,No,,F,201,CO2,0.5,L,18,"3910 McCullough Avenue, San Antonio, TX",,No,COD,,BF813949,12604362074,WB Liquors,3910 McCullough Avenue,San Antonio,78212,No,Martin House,," $2,052 "," $1,652 "," $4,956 ",142%
Corner,None,,C,0,No,,N,205,CO2,0.5,B,15,"8839 Culebra Rd #101, San Antonio, TX 78251
",,Yes,COD,,BG909729,32054389971,Corner,8839 Culebra Rd #101,San Antonio,78251,No,"""Martin House""",," $3,300 "," $1,613 "," $4,839 ",47%
Skip's Beer Wine and Liquor - San Antonio,NONE,,C,0,No,,F,201,CO2,0.5,L,18,"18010 Bulverde Rd, San Antonio, TX 78259
",,No,COD,,BF107086,32070625234,Skip's Beer Wine and Liquor,18010 Bulverde Rd.,San Antonio,78259,No,"""Martin House""",, $-   ," $1,564 "," $4,692 ",No 2019 Sales
The Point Park & Eats,None,,C,0,No,,N,202,CO2,0.5,B,20,"24188 Boerne Stage Rd, San Antonio, TX 78255",,No,COD,,BG780995,13103457407,The Point Park & Eats,24188 Boerne Stage Rd,San Antonio,78255,No,Martin House,," $2,130 "," $1,549 "," $4,647 ",118%
Spec's - San Antonio Legacy,Spec's,188,C,0,No,,F,200,CO2,0.5,L,18,"2003 N Loop 1604 E,Suite 111, San Antonio, TX 78232",,No,Fintech,Spec's - Legacy,BF1060775,17415326481,Spec's - San Antonio Legacy,"2003 N Loop 1604 E,Suite 111",San Antonio,78232,No,"""Martin House""",, $256 ," $1,528 "," $4,584 ",1691%
Liquor King - Western Center,Liquor King,,C,0,No,,F,4,CO2,0.5,L,18,"1900 Western Center Blvd Fort Worth, TX 76131",,No,Fintech,Liquor King - Western Center,BF1057004,32060960989,Liquor King - Western Center,1900 Western Center Blvd,Fort Worth,76131,No,"""Martin House""",, $632 ," $1,480 "," $4,440 ",603%
Total Wine - San Antonio The Rim,Total Wine,504,C,0,No,,F,202,CO2,0.5,G,40,"17530 La Cantera Pkwy  San Antonio , TX 78257",,No,COD,,BF872214,32044792565,Total Wine - San Antonio The Rim,17530 La Cantera Pkwy ,San Antonio,78257,No,Martin House,," $1,892 "," $1,460 "," $4,380 ",132%
Target - Denton ,Target,2145,C,0,No,,F,12,CO2,0.5,G,18,"1801 S Loop 288 Denton, TX 76205",,No,Fintech,Target - Denton,BQ648231,14102151702,Target - Denton,1801 S Loop 288,Denton,76205,No,"""Martin House""",, $120 ," $1,456 "," $4,368 ",3540%
Skip's Beer Wine and Liquor - Cibolo,NONE,,C,0,No,,F,203,CO2,0.5,L,18,"4470 Green Valley Rd, Cibolo, TX 78108",,No,COD,,BF1071567,32070625234,Skip's beer wine and liquor,4470 Green Valley Rd,Cibolo,78108,No,"""Martin House""",, $-   ," $1,452 "," $4,356 ",No 2019 Sales
Total Wine - San Antonio Del Norte,Total Wine,503,C,0,No,,F,201,CO2,0.5,G,45,"125 NW Loop 410 Ste 260 San Antonio , TX 78216",,No,COD,,BF858101,32044792565,Total Wine - San Antonio Del Norte,125 NW Loop 410 Ste 260,San Antonio,78216,No,Martin House,," $1,844 "," $1,432 "," $4,296 ",133%
American Liquor,None,,C,0,No,,F,11.5,CO1,1,L,15,"5412 Basswood Blvd, Fort Worth, TX 76137",,No,COD,,BF983269,32062803278,American Liquor,5412 Basswood Blvd,Ft Worth,76137,No,"""Martin House""",, $380 ," $1,400 "," $4,200 ",1005%
Big Hops - Shaenfield,None,,C,0,No,,N,205,CO3,0.25,B,18,"7915 W Loop 1604 N, San Antonio, TX 78254",,No,Fintech,Big Hops Shaenfield,BG1001394,32063558772,Big Hops Shaenfield,7915 W Loop 1604 N,San Antonio,78254,No,Martin House,," $4,937 "," $1,393 "," $4,179 ",-15%
Jefferson Bodega,NONE,,C,0,No,,F,205,CO2,0.5,L,18,"1005 Donaldson Ave, San Antonio, TX 78228
",,No,COD,,BQ1067447,32071099900,Jefferson Bodega,1005 Donaldson Ave,San Antonio,78228,No,"""Martin House""",, $-   ," $1,216 "," $3,648 ",No 2019 Sales
Big Hops - Huebner,None,,C,0,No,,B,202,CO3,0.25,S,18,"11224 Huebner Rd San Antonio , TX 78230",,No,Fintech,Big Hops Huebner,BG857570,32051358128,Bog Hops SA,11224 Huebner Rd,San Antonio,78230,No,Martin House,," $5,128 "," $1,215 "," $3,645 ",-29%
Total Wine - Forum,Total Wine,520,C,0,No,,F,201,CO2,0.5,L,60,"8356 Agora Parkway, Selma, TX 78154",,No,COD,,BF978981,32044792565,Total Wine - Forum,8356 Agora Parkway,Selma,78154,No,Martin House,, $572 ," $1,168 "," $3,504 ",513%
Eskimo Hut - Denton,Eskimo Hut, ,C,0,No,,B,12,CO2,0.5,L,18,"717 SUNSET STREET Denton , TX 76201",GM - Cory,No,COD,,BG607864,32014553302,Eskimo Hut - Denton,717 SUNSET STREET,Denton,76201,No,Martin House,," $2,693 "," $1,119 "," $3,357 ",25%
WB Liquors Costco - Selma,WB Liquors,23,C,0,No,,F,201,CO1,1,AD,18,"15330 IH 35 Suite 100 Selma, TX 78154",UPDATE DELIV WINDOWS/DURATIONS,No,COD,,BF918254,12604362074,WB Liquors Costco - Selma,15330 IH 35 Suite 100,Selma,78154,No,,, $-   ," $1,080 "," $3,240 ",No 2019 Sales
Eagle's Point Bar and Grill,None, ,C,0,No,,N,4.5,CO2,0.5,R,18,"1029 N Saginaw Blvd Suite C6 Saginaw, TX 76179", ,Yes,COD, ,MB1003984,32065331004,Eagle's Point Bar and Grill,1029 N Saginaw Blvd Suite C6, Saginaw,76179,No,"""Martin House""",," $3,931 "," $1,079 "," $3,237 ",-18%
Big Hops - Bitters,None,,C,0,No,,B,202,CO1,1,S,18,"226 W Bitters Road Ste 108 San Antonio, TX 78216",,No,Fintech,Big Hops - Bitters,BG831666,32048634268,Big Hops - Bitters,226 W Bitters Road Ste 108,San Antonio,78216,No,Martin House,," $5,754 ", $960 ," $2,880 ",-50%
Twin Liquors  - San Antonio 68,Twin Liquors,68,C,1,No,,F,200,CO3,0.25,AD,18,"12955 San Pedro, Ste 500, San Antonio, TX 78216",,No,Fintech,Twin Liquors  - San Antonio 68,P 776436,32018895659,Twin Liquors  - San Antonio 68,"12955 San Pedro, Ste 500",San Antonio,78216,No,,, $-   , $960 ," $2,880 ",No 2019 Sales
BJ's - Alliance,None, ,C,0,No,,N,4,CO3,0.25,R,18,"9401 Sage Meadow Trail Fort Worth , TX 76177", ,Yes,Fintech,BJ's - Alliance,RM741634,32024025663,BJ'S RESTAURANT & BREWHOUSE,9401 Sage Meadow Trail,Fort Worth,76177,No,Martin House,, $535 , $930 ," $2,790 ",421%
Liquor Depot,None,,C,0,No,,F,11.5,CO3,0.25,L,15,"5601 Basswood Blvd, Fort Worth, TX 76137",,No,Fintech,Liquor Depot,BF974049,32062378941,Liquor Depot,5601 Basswood Blvd,Fort Worth,76137,No,Martin House,," $1,472 ", $848 ," $2,544 ",73%
Stone Oak Liquor,NONE,,C,0,No,,F,202,CO1,1,L,18,"19202 Stone Oak Pkwy # 107, San Antonio, TX 78258
",,No,COD,,"BF767041
",32042607617,Stone Oak Liquor,19202 Stone Oak Pkwy. # 107,San Antonio,78258,No,"""Martin House""",, $-   , $828 ," $2,484 ",No 2019 Sales
Double Eagle Liquor,None,,C,0,No,,F,4.5,CO2,0.5,L,18,"8455 Boat Club Rd Ste 150, 76179 Fort Worth",,No,COD,,BF983274,32062924421,Double Eagle Liquor,8455 Boat Club Rd Ste 150,Fort Worth,76179,No,Martin House,," $2,268 ", $792 ," $2,376 ",5%
7-11 - Converse,NONE,,C,0,No,,F,203,CO2,0.5,L,18,"9084 FM 78
CONVERSE, TX 78109",,No,COD,,BQ813523,32061333343,Severn Eleven Converse,9084 FM 78,Converse,78109,No,"""Martin House""",, $-   , $748 ," $2,244 ",No 2019 Sales
Target - Lake Worth 2008,Target,2008,C,0,Yes,Weekend Inv - As Needed,F,4.5,CO1,1,G,22,"6604 LAKE WORTH BOULEVARD, Lake Worth, TX",Bottom end cap backside of G32,No,Fintech,Target - Lake Worth 2008,BQ609739,14102151702,Target - Lake Worth 2008,6604 LAKE WORTH BOULEVARD,Lake Worth,76135,No,Martin House,," $3,497 ", $720 ," $2,160 ",-38%
Walmart - Haslet 5764,Walmart,5764,C,0,Yes,Weekend Inv - Weekly,F,4.5,CO1,1,G,18,"2401 Avondale Haslet Road, Haslet, TX 76052",,No,Fintech,Walmart - Haslet 5764,BQ850340,17104151885,Walmart - Haslet 5764,2401 Avondale Haslet Road,Haslet,76052,No,No,, $830 , $640 ," $1,920 ",131%
HEB - Alamo Ranch 733,HEB,733,C,0,No,,N,205,CO2,0.5,G,22," 12125 ALAMO RANCH PKWY
SAN ANTONIO, TX  78253",,No,EFT,,BF990453,17430106587,HEB - Alamo Ranch Pkwy,12125 ALAMO RANCH PKWY,SAN ANTONIO,78253,No,Martin House,, $608 , $640 ," $1,920 ",216%
Stella Public House,None,,C,0,No,,N,201,CO2,0.5,B,20,"1414 Alamo Street San Antonio, TX 78210",,No,Fintech,Stella Public House,MB827171,17430246946,Stella Public House,1414 S Alamo St,San Antonio,78210,No,Martin House,, $946 , $620 ," $1,860 ",97%
Cassidy's - Fort Worth,None,,C,0,No,,N,4,CO3,0.25,B,18,"2540 Meacham Blvd. Fort Worth, Texas 76106",Michael is the main contact. ,No,Fintech,Tog Hotel's Beverage,MB179913,13111572916,Cassidy's - Fort Worth,2540 Meacham Blvd,Fort Worth,76106,No,Martin House,, $554 , $605 ," $1,815 ",228%
Kroger - Teasley Denton 000570,Kroger,570,C,0,No,Weekend Inv - As Needed,F,12,CO3,0.25,G,22,"5021 Teasley Lane Denton , TX 76201","B&W Manager Jennifer. 
Back stock on Uboat in wine cage",No,Fintech,Kroger - 000570 Teasley Denton,BQ710026,13116785307,Kroger - 000570 Teasley Denton,5021 Teasley Lane,Denton,76201,No,Martin House,," $2,948 ", $576 ," $1,728 ",-41%
Target - North Fort Worth 2754,Target,2754,C,0,Yes,Weekend Inv - Weekly,F,4,CO1,1,G,22,"8917 Tehama Ridge Pkwy, Fort Worth, TX",,No,Fintech,Target - North Fort Worth 2754,BQ922208,14102151702,Target - North Fort Worth 2754,8917 Tehama Ridge Pkwy,Fort Worth,76177,No,,," $2,448 ", $576 ," $1,728 ",-29%
Angie's - San Antonio,None,,C,0,No,,N,205,CO2,0.5,R,18,"612 W Commerce Ste F2
San Antonio, TX 78207",Inside Market Plaza Shops under overpass at Western entrance.,No,COD,,BG809455,32041797666,Angie's - San Antonio,612 W COMMERCE SUITE F2,San Antonio,78207,No,"""Martin House""",, $284 , $564 ," $1,692 ",496%
